START TIME: Wed Dec 17 02:44:18 CET 2025
[sbatch-master] running on nid007642
[sbatch-master] SLURM_NODELIST: nid007642
[sbatch-master] SLURM_NNODES: 1
[sbatch-master] SLURM_NODEID: 0
[sbatch-master] define some env vars that will be passed to the compute nodes
[sbatch-master] execute command on compute nodes
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid007642 noderank=0 localrank=0
2025-12-17 02:44:33,906 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc-2/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=2048, batch_size=1, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=5, checkpoint_frequency=100, checkpoint_save_path=None, checkpoint_load_path=None, profile=False, profile_step_start=10, profile_step_end=12, grad_max_norm=1, model_dtype='bf16', compile=False, tp_size=1)
Setting device to local rank: 0
[Rank 0] World Size: 1, DP: 0 / 1, TP: 0 / 1
2025-12-17 02:44:35,091 - root - INFO - Setting up DataLoaders...
2025-12-17 02:44:38,243 - root - INFO - Setting up Model...
2025-12-17 02:44:40,250 - root - INFO - Starting training!
2025-12-17 02:45:27,429 - root - INFO - Step: 105 | Loss (Avg): 8.39 | Reserved Memory 86.81 GB  | Tokens per second: 4672.08 | Training tokens per second (%): 24.47 | MFU (%): 22.83 | TFLOP/s/GPU: 225.75
2025-12-17 02:45:29,657 - root - INFO - Step: 110 | Loss (Avg): 9.31 | Reserved Memory 86.81 GB  | Tokens per second: 4595.61 | Training tokens per second (%): 62.95 | MFU (%): 22.45 | TFLOP/s/GPU: 222.06
2025-12-17 02:45:31,861 - root - INFO - Step: 115 | Loss (Avg): 7.63 | Reserved Memory 86.81 GB  | Tokens per second: 4648.99 | Training tokens per second (%): 43.44 | MFU (%): 22.71 | TFLOP/s/GPU: 224.64
2025-12-17 02:45:34,033 - root - INFO - Step: 120 | Loss (Avg): 8.05 | Reserved Memory 86.81 GB  | Tokens per second: 4714.56 | Training tokens per second (%): 22.99 | MFU (%): 23.03 | TFLOP/s/GPU: 227.81
2025-12-17 02:45:36,201 - root - INFO - Step: 125 | Loss (Avg): 8.08 | Reserved Memory 86.81 GB  | Tokens per second: 4723.11 | Training tokens per second (%): 17.45 | MFU (%): 23.08 | TFLOP/s/GPU: 228.22
2025-12-17 02:45:38,406 - root - INFO - Step: 130 | Loss (Avg): 7.51 | Reserved Memory 86.81 GB  | Tokens per second: 4645.05 | Training tokens per second (%): 49.47 | MFU (%): 22.69 | TFLOP/s/GPU: 224.45
2025-12-17 02:45:40,584 - root - INFO - Step: 135 | Loss (Avg): 8.80 | Reserved Memory 86.81 GB  | Tokens per second: 4703.57 | Training tokens per second (%): 24.29 | MFU (%): 22.98 | TFLOP/s/GPU: 227.28
2025-12-17 02:45:42,790 - root - INFO - Step: 140 | Loss (Avg): 7.19 | Reserved Memory 86.81 GB  | Tokens per second: 4641.50 | Training tokens per second (%): 50.73 | MFU (%): 22.68 | TFLOP/s/GPU: 224.28
2025-12-17 02:45:44,961 - root - INFO - Step: 145 | Loss (Avg): 6.87 | Reserved Memory 86.81 GB  | Tokens per second: 4718.75 | Training tokens per second (%): 12.02 | MFU (%): 23.05 | TFLOP/s/GPU: 228.01
2025-12-17 02:45:47,163 - root - INFO - Step: 150 | Loss (Avg): 8.02 | Reserved Memory 86.81 GB  | Tokens per second: 4650.55 | Training tokens per second (%): 41.50 | MFU (%): 22.72 | TFLOP/s/GPU: 224.71
